title,journal,year,pages,volume,authors,keywords,pmid,issue,abstract
"Effect of anodal versus cathodal transcranial direct current stimulation on stroke rehabilitation: a pilot randomized controlled trial.","Neurorehabilitation and neural repair",2013,659-63,27,Array,Array,23609526,7,"Our results provide the first direct model validation for these subject-specific modeling approaches. In addition, the monitoring of scalp voltages may be used to verify electrode placement to increase transcranial electrical stimulation safety and reproducibility."
"Modulating arithmetic fact retrieval: a single-blind, sham-controlled tDCS study with repeated fMRI measurements.",Neuropsychologia,2013,1279-86,51,Array,Array,23603021,7,"Transcranial direct current stimulation (tDCS) is a non-invasive technique which has been used to modulate various cognitive functions in healthy participants as well as stroke patients. Despite the increasing number of tDCS studies, it still remains questionable whether tDCS is suitable for modulating performance in arithmetic tasks and whether a single tDCS session may cause brain activity changes that can be detected with functional magnetic resonance imaging (fMRI). We asked healthy participants to repeatedly solve simple multiplication tasks in three conditions: STIMULATION (anodal tDCS over the right angular gyrus, AG), SHAM (identical electrode set-up without stimulation), and CONTROL (no electrodes attached). Before and after tDCS, we used fMRI to examine changes in brain activity. Behavioural results indicate that a single session of tDCS did not modulate task performance significantly. However, fMRI measurements revealed that the neural correlates of multiplication were modified following a single session of anodal tDCS. In the bilateral AG, activity was significantly higher for multiplication problems rehearsed during active tDCS, as compared to multiplication problems rehearsed without tDCS or during sham tDCS. In sum, we present first neuro-functional evidence that tDCS modulates arithmetic processing. Implications of these findings for future tDCS studies and for the rehabilitation of acalculic patients with deficits in arithmetic fact retrieval are discussed."
"Transcranial direct current stimulation (tDCS) for the treatment of persistent visual and auditory hallucinations in schizophrenia: a case study.","Brain stimulation",2013,1279-86,6,Array,Array,23602026,5,"Transcranial direct current stimulation (tDCS) has proved to be valuable in improving many language processes. However, its influence on verbal fluency still needs to be fully proved. In the present study, we explored the effects of different electrode montages on a semantic fluency task, aimed at comparing their effectiveness in affecting language production. Ninety healthy, right-handed volunteers were randomly assigned to receive one of the following stimulation protocols: (1) anode over the left frontal cortex/cathode over the right supraorbital (rSO) area, (2) anode over the left fronto-temporal (lFT) cortex/cathode over the rSO area, (3) anode over the lFT cortex/cathode over the right FT cortex, (4) anode over the lFT cortex/big-size cathode over the rSO area, (5) sham. In the active stimulation conditions, 2 mA current was delivered for 20 min. Participants performed the semantic fluency task before the stimulation, immediately after it, and 15 min after the first post-stimulation task. Although none of the different protocols improved language production immediately after the stimulation, anodal stimulation over the left frontal cortex (standard-size cathode over the rSO area) improved fluency at the second post-stimulation task. This proved that small differences in either active electrode positioning, or reference positioning/size can impact tDCS behavioral effects also in the cognitive domain. These findings, which can be sometimes missed when tested immediately after the stimulation only, add new information on tDCS spatial and temporal features, thus providing new indications to increase the effectiveness of stimulation protocols."
"Electrode montage dependent effects of transcranial direct current stimulation on semantic fluency.","Behavioural brain research",2013,1279-86,248,Array,Array,23597838,,"Background: Transcranial direct-current stimulation (tDCS) is a non-invasive procedure that achieves polarity-dependent modulation of neuronal membrane potentials. It has recently been used as a functional intervention technique for the treatment of psychiatric and neurological diseases; however, its neuronal mechanisms have not been fully investigated in vivo. Objective/Hypothesis: To investigate whether the application of cathodal or anodal tDCS affects extracellular dopamine and serotonin levels in the rat striatum. Methods: Stimulation and in vivo microdialysis were carried out under urethane anesthesia, and microdialysis probes were slowly inserted into the striatum. After the collection of baseline fractions in the rat striatum, cathodal or anodal tDCS was applied continuously for 10 min with a current intensity of 800 μA from an electrode placed on the skin of the scalp. Dialysis samples were collected every 10 min until at least 400 min after the onset of stimulation. Results: Following the application of cathodal, but not anodal, tDCS for 10 min, extracellular dopamine levels increased for more than 400 min in the striatum. There were no significant changes in extracellular serotonin levels. Conclusion: These findings suggest that tDCS has a direct and/or indirect effect on the dopaminergic system in the rat basal ganglia."
"Transcranial direct-current stimulation increases extracellular dopamine levels in the rat striatum.","Frontiers in systems neuroscience",2013,1279-86,7,Array,Array,23596399,,"Whether visual subliminal processing involves semantic processing is still being debated. To examine this, we combined a passive electroencephalogram (EEG) study with an application of transcranial direct current stimulation (tDCS). In the masked-face priming paradigm, we presented a subliminal prime preceding the target stimulus. Participants were asked to determine whether the target face was a famous face, indicated by a button press. The prime and target pair were either the same person's face (congruent) or different person's faces (incongruent), and were always both famous or both non-famous faces. Experiments were performed over 2 days: 1 day for a real tDCS session and another for a sham session as a control condition. In the sham session, a priming effect, reflected in the difference in amplitude of the late positive component (250-500 ms to target onset), was observed only in the famous prime condition. According to a previous study, this effect might indicate a subliminal semantic process [10]. Alternatively, a priming effect toward famous primes disappeared after tDCS stimulation. Our results suggested that a subliminal process might not be limited to processes in the occipital and temporal areas, but may proceed to the semantic level processed in prefrontal cortex."
"Does Prefrontal Cortex Transcranial Direct Current Stimulation Influence the Oxygen Uptake at Rest and Post-exercise?","International journal of sports medicine",2013,1279-86,,Array,Array,23592415,,"Transcranial direct current stimulation (tDCS) is a noninvasive technique that modulates the excitability of neurons within the motor cortex (M1). Although the aftereffects of anodal tDCS on modulating cortical excitability have been described, there is limited data describing the outcomes of different tDCS intensities on intracortical circuits. To further elucidate the mechanisms underlying the aftereffects of M1 excitability following anodal tDCS, we used transcranial magnetic stimulation (TMS) to examine the effect of different intensities on cortical excitability and short-interval intracortical inhibition (SICI). Using a randomized, counterbalanced, crossover design, with a one-week wash-out period, 14 participants (6 females and 8 males, 22-45 years) were exposed to 10 minutes of anodal tDCS at 0.8, 1.0, and 1.2 mA. TMS was used to measure M1 excitability and SICI of the contralateral wrist extensor muscle at baseline, immediately after and 15 and 30 minutes following cessation of anodal tDCS. Cortical excitability increased, whilst SICI was reduced at all time points following anodal tDCS. Interestingly, there were no differences between the three intensities of anodal tDCS on modulating cortical excitability or SICI. These results suggest that the aftereffect of anodal tDCS on facilitating cortical excitability is due to the modulation of synaptic mechanisms associated with long-term potentiation and is not influenced by different tDCS intensities."
"Semantic processing in subliminal face stimuli: an EEG and tDCS study.","Neuroscience letters",2013,1279-86,544,Array,Array,23587808,,"The visual processing of emotional faces is subserved by both a cortical and a subcortical route. To investigate the specific contribution of these two functional pathways, two groups of neurologically healthy humans were tested using transcranial direct current stimulation (tDCS). In Experiment 1, participants received sham and active cathodal-inhibitory tDCS over the left occipital cortex, while, in control Experiment 2, participants received sham and active cathodal-inhibitory tDCS over the vertex, to exclude any unspecific effect of tDCS. After tDCS, participants performed a go/no-go task responding to happy or fearful target faces presented in the left visual field, while backwardly masked faces (emotionally congruent, incongruent, or neutral) were concurrently displayed in the right visual field. After both suppressing activity in the vertex (Experiment 2) and sham stimulation (Experiment 1 and 2) a reduction of reaction times was found for pairs of emotionally congruent stimuli. However, after suppressing the activity in the left occipital cortex, the congruency-dependent response facilitation disappeared, while a specific facilitative affect was evident when masked fearful faces were coupled with happy target faces. These results parallel the performances of hemianopic patients and suggest that when the occipital cortex is damaged or inhibited, and the visual processing for emotional faces is mainly dependent on the activation of the ""low road"" subcortical route, fearful faces represent the only visually processed stimuli capable of facilitating a behavioral response. This effect might reflect an adaptive mechanism implemented by the brain to quickly react to potential threats before their conscious identification."
"Different current intensities of anodal transcranial direct current stimulation do not differentially modulate motor cortex plasticity.","Neural plasticity",2013,1279-86,2013,Array,Array,23577272,,"Preventive pharmacotherapy for migraine is not satisfactory because of the low efficacy/tolerability ratio of many available drugs. Novel and more efficient preventive strategies are therefore warranted. Abnormal excitability of cortical areas appears to play a pivotal role in migraine pathophysiology. Transcranial direct current stimulation (tDCS) is a non-invasive and safe technique that is able to durably modulate the activity of the underlying cerebral cortex, and is being tested in various medical indications. The results of small open studies using tDCS in migraine prophylaxis are conflicting, possibly because the optimal stimulation settings and the brain targets were not well chosen. We have previously shown that the cerebral cortex, especially the visual cortex, is hyperresponsive in migraine patients between attacks and provided evidence from evoked potential studies that this is due to a decreased cortical preactivation level. If one accepts this concept, anodal tDCS over the visual cortex may have therapeutic potentials in migraine prevention, as it is able to increase neuronal firing."
"Transcranial direct current stimulation in sports training: potential approaches.","Frontiers in human neuroscience",2013,1279-86,7,Array,Array,11723286,,"To study the effects of anodal tDCS on visual cortex activity in healthy volunteers (HV) and episodic migraine without aura patients (MoA), and its potentials for migraine prevention."
"Differential contribution of cortical and subcortical visual pathways to the implicit processing of emotional faces: a tDCS study.","The Journal of neuroscience : the official journal of the Society for Neuroscience",2013,1279-86,33,Array,Array,11807497,15,"We recorded pattern-reversal visual evoked potentials (VEP) before and after a 15-min session of anodal tDCS over the visual cortex in 11 HV and 13 MoA interictally. Then 10 MoA patients reporting at least 4 attacks/month subsequently participated in a therapeutic study, and received 2 similar sessions of tDCS per week for 8 weeks as migraine preventive therapy."
"Transcranial Direct Current Stimulation (tDCS) of the visual cortex: a proof-of-concept study based on interictal electrophysiological abnormalities in migraine.","The journal of headache and pain",2013,1279-86,14,Array,Array,12244081,1,"In HV as well as in MoA, anodal tDCS transiently increased habituation of the VEP N1P1 component. VEP amplitudes were not modified by tDCS. Preventive treatment with anodal tDCS turned out to be beneficial in MoA: migraine attack frequency, migraine days, attack duration and acute medication intake significantly decreased during the treatment period compared to pre-treatment baseline (all p < 0.05), and this benefit persisted on average 4.8 weeks after the end of tDCS."
"Anodal tDCS to V1 blocks visual perceptual learning consolidation.",Neuropsychologia,2013,1234-9,51,Array,Array,23562964,7,"This study examined the effects of visual cortex transcranial direct current stimulation (tDCS) on visual processing and learning. Participants performed a contrast detection task on two consecutive days. Each session consisted of a baseline measurement followed by measurements made during active or sham stimulation. On the first day, one group received anodal stimulation to primary visual cortex (V1), while another received cathodal stimulation. Stimulation polarity was reversed for these groups on the second day. The third (control) group of subjects received sham stimulation on both days. No improvements or decrements in contrast sensitivity relative to the same-day baseline were observed during real tDCS, nor was any within-session learning trend observed. However, task performance improved significantly from Day 1 to Day 2 for the participants who received cathodal tDCS on Day 1 and for the sham group. No such improvement was found for the participants who received anodal stimulation on Day 1, indicating that anodal tDCS blocked overnight consolidation of visual learning, perhaps through engagement of inhibitory homeostatic plasticity mechanisms or alteration of the signal-to-noise ratio within stimulated cortex. These results show that applying tDCS to the visual cortex can modify consolidation of visual learning."
"Cathodal transcranial direct current stimulation affects seizures and cognition in fully amygdala-kindled rats.","Neurological research",2013,1234-9,35,Array,Array,23562065,6,"This study evaluated the effects of weak transcranial direct current stimulation (tDCS), a new non-invasive brain stimulation technique, on amygdala-kindled rats. The seizure severity, i.e. seizure stage, afterdischarge duration (ADD), and AD threshold (ADT) in the animals were measured one day after the last cathodal tDCS session, comparing with those of pre-treatment controls. Furthermore, the effects of cathodal tDCS on cognitive function were also studied by a water maze test (WMT) two days after the last tDCS session. Cathodal tDCS treatment significantly improved the seizure stage and decreased ADD together with elevated ADT one day after the last tDCS session. The treatment also showed significant improvement in the performance of WMT. The findings suggest that cathodal tDCS has anticonvulsive after-effects last at least for one day on the amygdala-kindled rats and positively affects cognitive performance."
"Impaired motor cortex responses in non-psychotic first-degree relatives of schizophrenia patients: a cathodal tDCS pilot study.","Brain stimulation",2013,1234-9,6,Array,Array,23545473,5,"Schizophrenia has recently been described as a disorder of impaired plasticity and dysconnectivity. Several lines of evidence suggest that alterations in glutamatergic neurotransmission underlie different symptom domains of schizophrenia. Little is known about the impact of genetic liability on cortical plasticity and connectivity in schizophrenia."
"Treatments in context: transcranial direct current brain stimulation as a potential treatment in pediatric psychosis.","Expert review of neurotherapeutics",2013,1234-9,13,Array,Array,23545058,4,"To compare N-methyl-d-aspartate receptor (NMDAR)-dependent cortical plasticity and connectivity in schizophrenia patients and unaffected first-degree relatives to that in healthy subjects."
"Transcranial direct current stimulation: challenges, opportunities, and impact on psychiatry and neurorehabilitation.","Frontiers in psychiatry",2013,1234-9,4,Array,Array,23544030,,"Cortical plasticity can be induced in the motor cortex with cathodal transcranial direct current stimulation (tDCS). Animal and human research indicates that this long-term depression-like plasticity (LTD-like) is NMDAR dependent, and that these plasticity shifts can last for several hours. tDCS-induced plasticity was assessed by measuring motor-evoked potentials (MEPs) generated by applying transcranial magnetic stimulation (TMS) to both hemispheres in healthy controls, chronically ill schizophrenia patients and unaffected first-degree relatives."
"Transcranial direct current stimulation (tDCS) of Broca's area in chronic aphasia: a controlled outcome study.","Behavioural brain research",2013,1234-9,247,Array,Array,23538068,,"Compared to healthy controls, both first-degree relatives and schizophrenia patients showed abolished motor-cortical LTD-like plasticity of the stimulated hemisphere. On the non-stimulated hemisphere, plasticity was again abolished in schizophrenia patients, whereas first-degree relatives had a reversed plasticity."
"Transcranial direct current stimulation in stroke rehabilitation: a review of recent advancements.","Stroke research and treatment",2013,1234-9,2013,Array,Array,23533955,,"Non-psychotic and clinically unaffected first-degree relatives showed an alteration and a reversal of LTD-like cortical plasticity, indicating functional alterations of glutamatergic transmission as a result of a genetic liability for developing schizophrenia. These results provide new evidence for the association between plasticity dysregulation and functional cortical connectivity, and the importance of these networks in the pathophysiology of schizophrenia."
"High-frequency TRNS reduces BOLD activity during visuomotor learning.","PloS one",2013,1234-9,8,Array,Array,23527247,3,"Childhood-onset schizophrenia is a chronic, severe form of schizophrenia, and is typically treatment resistant. Even after optimized pharmacotherapy, a majority (over 70%) of these pediatric patients present lasting psychotic symptoms and impaired cognition, necessitating the need for novel treatment modalities. Recent work in transcranial magnetic stimulation suggests moderate efficacy in symptom reduction in adult patients with schizophrenia; however, the transcranial magnetic stimulation treatment is cumbersome for this severely ill population. Transcranial direct current stimulation may provide a safe and effective adjuvant treatment for continued residual symptoms of schizophrenia."
"Does Prefrontal Cortex Transcranial Direct Current Stimulation Influence the Oxygen Uptake at Rest and Post-exercise?","International journal of sports medicine",2013,1234-9,,Array,Array,22078504,,"In the last decade transcranial direct current stimulation (tDCS) has been introduced in aphasia post-stroke recovery as a tool for modulating neuroplasticity. However, it is still unclear whether tDCS should be applied at rest (off-line) or combined with behavioral treatment strategies (on-line), therefore, this study investigates the effect of repeated sessions of off-line tDCS on language recovery in post-stroke chronic aphasic patients."
"Clinical effectiveness of primary and secondary headache treatment by transcranial direct current stimulation.","Frontiers in neurology",2013,1234-9,4,Array,Array,21665534,,"Eight post-stroke patients with different type and degree of chronic aphasia underwent two weeks of off-line anodal tDCS (2 mA intensity for 20 min a day) on Broca's area and two weeks of sham stimulation as a control condition. Language recovery was measured assessing object and action naming abilities with a computerized picture naming task."
"A review of computational models of transcranial electrical stimulation.","Critical reviews in biomedical engineering",2013,21-35,41,Array,Array,23510007,1,"Transcranial electrical stimulation (tES), which includes transcranial direct current stimulation (tDCS) and electroconvulsive therapy (ECT), has played an important role in the treatment of various psychiatric disorders. Decades of empirical research and clinical experience have led to new and improved brain stimulation techniques, but the mechanisms underlying treatment efficacy and side effects are poorly understood. As part of the ongoing research effort in tES, the value of computational models of transcranial electric current flow has been increasingly recognized, and a proliferation of modeling studies have been published. The complexity of these tES models ranges from simple sphere-based models of the head to high-resolution anatomical reconstructions based on head-image scans. This review provides an up-to-date description and comparison of existing computational models of tES (primarily tDCS and ECT), focusing on the modeling approaches adopted in previous studies and their significant finding."
"Evidence for long-lasting subcortical facilitation by transcranial direct current stimulation in the cat.","The Journal of physiology",2013,21-35,591,Array,Array,23507876,"Pt 13","The main aim of the study was to examine the effects of transcranial polarization on neurons in two descending motor systems, rubro- and reticulospinal. Anodal DC current was applied through an electrode in contact with the skull over the contralateral sensori-motor cortex, against an electrode placed between the skull and the ipsilateral temporal muscles in deeply anaesthetized cats. Its effects were estimated from changes in descending volleys evoked by electrical stimuli applied in the red nucleus (RN), medial longitudinal fascicle (MLF; to reticulospinal fibres) and the pyramidal tract (PT; to corticospinal or corticoreticular fibres). The descending volleys were recorded from the surface of the spinal cord at a cervical level. Rubrospinal neurones were activated either directly or indirectly, via interpositorubral fibres. Reticulospinal neurons were likewise activated directly and indirectly, via other reticulospinal or corticospinal fibres. Transcranial polarization facilitated transsynaptic activation of both rubrospinal and reticulospinal neurons, shortening the latency of the indirect descending volleys and/or increasing them, Direct activation of descending axons was much less affected. The facilitation of all subcortical neurons examined was potentiated by repeated applications of transcranial direct current stimulation (tDCS) and outlasted the polarization by at least 1-2 h, replicating tDCS effects on indirect activation of cortical neurons. The results indicate that the beneficial effects of tDCS on motor performance in humans may be due to more efficient activation of not only cortical but also subcortical neuronal systems. Combined actions of tDCS on cortical and subcortical neurones might thus further improve recovery of motor functions during rehabilitation after central injuries. 249/250."
"Transcranial direct current stimulation (tDCS) for depression: analysis of response using a three-factor structure of the Montgomery-Åsberg depression rating scale.","Journal of affective disorders",2013,21-35,150,Array,Array,23507370,1,"There is growing evidence that transcranial direct current stimulation (tDCS) may be an effective treatment for depression. However, no study to date has profiled the antidepressant effects of tDCS using items or factors on depression symptom severity rating scales. This could potentially provide information about the mechanisms by which tDCS achieves its antidepressant effects and also identify clinical predictors of response."
"Computationally efficient simulation of electrical activity at cell membranes interacting with self-generated and externally imposed electric fields.","Journal of neural engineering",2013,21-35,10,Array,Array,23503026,2,"The present study analysed scores on the Montgomery-Åsberg depression rating scale (MADRS) from a randomised, sham-controlled trial of tDCS (Loo et al., 2012. British Journal of Psychiatry. 200, 52-59) using a three-factor model of MADRS items (Suzuki et al., 2005. Depression and Anxiety. 21, 95-97) encompassing dysphoria, retardation and vegetative symptoms."
"Early optimization in finger dexterity of skilled pianists: implication of transcranial stimulation.","BMC neuroscience",2013,21-35,14,Array,Array,23496918,,"Participants in the active tDCS treatment group showed significant improvement in dysphoria while participants in the sham treatment group did not. While both groups showed improvement in retardation symptoms, improvement was significantly greater in the active tDCS group. Both groups also showed improvement in vegetative symptoms but there were no between-group differences."
"Motor learning interference is proportional to occlusion of LTP-like plasticity.","The Journal of neuroscience : the official journal of the Society for Neuroscience",2013,21-35,33,Array,Array,12945651,11,"Further studies with larger sample sizes are warranted to investigate the generalisability of results and whether the MADRS factor structure may change as a result of the specific treatment used."
"Single Session of Dual-tDCS Transiently Improves Precision Grip and Dexterity of the Paretic Hand After Stroke.","Neurorehabilitation and neural repair",2013,21-35,,Array,Array,21665201,,"tDCS appears to be particularly effective in treating dysphoria and retardation, but not vegetative symptoms of depression. This may have implications for selection of types of depression most likely to respond to this treatment."
"Cellular effects of acute direct current stimulation: somatic and synaptic terminal effects.","The Journal of physiology",2013,21-35,591,Array,Array,15133016,"Pt 10","We present a computational method that implements a reduced set of Maxwell's equations to allow simulation of cells under realistic conditions: sub-micron cell morphology, a conductive non-homogeneous space and various ion channel properties and distributions."
"Performance of motor imagery brain-computer interface based on anodal transcranial direct current stimulation modulation.","IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society",2013,21-35,21,Array,Array,15147322,3,"While a reduced set of Maxwell's equations can be used to couple membrane currents to extra- and intracellular potentials, this approach is rarely taken, most likely because adequate computational tools are missing. By using these equations, and introducing an implicit solver, numerical stability is attained even with large time steps. The time steps are limited only by the time development of the membrane potentials."
"Targeted transcranial direct current stimulation for rehabilitation after stroke.",NeuroImage,2013,21-35,75,Array,Array,4972743,,"This method allows simulation times of tens of minutes instead of weeks, even for complex problems. The extracellular fields are accurately represented, including secondary fields, which originate at inhomogeneities of the extracellular space and can reach several millivolts. We present a set of instructive examples that show how this method can be used to obtain reference solutions for problems, which might not be accurately captured by the traditional approaches. This includes the simulation of realistic magnitudes of extracellular action potential signals in restricted extracellular space."
"Anodal transcranial direct current stimulation increases brain intracellular pH and modulates bioenergetics.","The international journal of neuropsychopharmacology / official scientific journal of the Collegium Internationale Neuropsychopharmacologicum (CINP)",2013,1695-706,16,Array,Array,23473040,8,"Transcranial direct current stimulation is an emerging treatment for brain disorders but its mode of action is not well understood. We applied 10 min 1 mA anodal transcranial direct current stimulation (tDCS) inside the bore of a 3 T MRI scanner to the left dorsolateral prefrontal cortex of 13 healthy volunteers (aged 19-28 yr) in a blinded, sham-controlled, cross-over design. Brain bioenergetics were measured from the left temporo-frontal region using 31P magnetic resonance spectroscopy before, during and for 20 min following tDCS. Brain pH rose during tDCS and remained elevated afterwards. Phosphomonoesters were significantly decreased while inorganic phosphate (Pi) also fell. Partial-least squares discriminant analysis of the data revealed two significantly different subject groups: one where phosphocreatine (PCr), ATP and Pi fell along with a larger increase in pH and one where PCr and ATP increased along with a smaller increase in pH and a slower and more sustained decrease in Pi. Group membership was predicted by baseline pH and ATP. We interpreted the effects of tDCS as driving two biochemical processes: cellular consumption of ATP causing hydrolysis of PCr via the creatine kinase reaction driving the increase in pH; synthesis of ATP and PCr by mitochondria with concomitant drop in Pi and phosphomonoester levels."
"Anodal tDCS applied during strength training enhances motor cortical plasticity.","Medicine and science in sports and exercise",2013,1695-706,45,Array,Array,23470308,9,"The objective of this study was to assess the effect of anodal transcranial direct current stimulation (a-tDCS) on voluntary dynamic strength and cortical plasticity when applied during a 3-wk strength training program for the wrist extensors."
"Is transcranial alternating current stimulation effective in modulating brain oscillations?","PloS one",2013,1695-706,8,Array,Array,23457586,2,"Thirty right-handed participants were randomly allocated to the tDCS, sham, or control group. The tDCS and sham group underwent 3 wk of heavy-load strength training of the right wrist extensors, with 20 min of a-tDCS (2 mA) or sham tDCS applied during training (double blinded). Outcome measures included voluntary dynamic wrist extension strength, muscle thickness, corticospinal excitability, short-interval intracortical inhibition (SICI), and silent period duration."
"When anger leads to rumination: induction of relative right frontal cortical activity with transcranial direct current stimulation increases anger-related rumination.","Psychological science",2013,1695-706,24,Array,Array,16887192,4,"Maximal voluntary strength increased in both the tDCS and sham groups (14.89% and 11.17%, respectively, both P < 0.001). There was no difference in strength gain between the two groups (P = 0.229) and no change in muscle thickness (P = 0.15). The tDCS group demonstrated an increase in motor-evoked potential amplitude at 15%, 20%, and 25% above active motor threshold, which was accompanied by a decrease in SICI during 50% maximal voluntary isometric contraction and 20% maximal voluntary isometric contraction (all P < 0.05). Silent period decreased for both the tDCS and sham groups (P < 0.001)."
"Brain stimulation modulates the autonomic nervous system, rating of perceived exertion and performance during maximal exercise.","British journal of sports medicine",2013,1695-706,,Array,Array,17360926,,"The application of a-tDCS in combination with strength training of the wrist extensors in a healthy population did not provide additional benefit for voluntary dynamic strength gains when compared with standard strength training. However, strength training with a-tDCS appears to differentially modulate cortical plasticity via increases in corticospinal excitability and decreases in SICI, which did not occur following strength training alone."
"Neuroplasticity-based brain stimulation interventions in the study and treatment of schizophrenia: a review.","Canadian journal of psychiatry. Revue canadienne de psychiatrie",2013,1695-706,58,Array,Array,17251360,2,"Transcranial alternating current stimulation (tACS) is a promising tool for modulating brain oscillations, as well as a possible therapeutic intervention. However, the lack of conclusive evidence on whether tACS is able to effectively affect cortical activity continues to limit its application. The present study aims to address this issue by exploiting the well-known inhibitory alpha rhythm in the posterior parietal cortex during visual perception and attention orientation. Four groups of healthy volunteers were tested with a Gabor patch detection and discrimination task. All participants were tested at the baseline and selective frequencies of tACS, including Sham, 6 Hz, 10 Hz, and 25 Hz. Stimulation at 6 Hz and 10 Hz over the occipito-parietal area impaired performance in the detection task compared to the baseline. The lack of a retinotopically organised effect and marginal frequency-specificity modulation in the detection task force us to be cautious about the effectiveness of tACS in modulating brain oscillations. Therefore, the present study does not provide significant evidence for tACS reliably inducing direct modulations of brain oscillations that can influence performance in a visual task."
"Evolution of premotor cortical excitability after cathodal inhibition of the primary motor cortex: a sham-controlled serial navigated TMS study.","PloS one",2013,1695-706,8,Array,Array,17555828,2,"Anger is associated with various responses. Research on the neuroscience of anger has revealed that greater left than right frontal cortical activity is associated with angry approach-oriented responses, such as aggression, whereas greater right than left frontal cortical activity is associated with inhibited angry responses mixed with anxiety. In the current research, we extended these past studies by manipulating asymmetric frontal cortical activity using transcranial direct current stimulation and assessing its influence on ruminative responses to an interpersonal insult. Results revealed that self-reported rumination was greatest for participants who received a manipulated increase in relative right frontal cortical activity compared with those who received either a manipulated increase in relative left frontal cortical activity or sham stimulation. Taken together with past findings, the current results suggest that anger associated with greater relative left frontal cortical activity predicts approach-oriented aggressive action, whereas anger associated with greater relative right frontal cortical activity predicts inhibited rumination."
"Transcranial direct current stimulation (tDCS) for catatonic schizophrenia: a case study.","Schizophrenia research",2013,1695-706,146,Array,Array,17706433,1-3,"BACKGROUND: The temporal and insular cortex (TC, IC) have been associated with autonomic nervous system (ANS) control and the awareness of emotional feelings from the body. Evidence shows that the ANS and rating of perceived exertion (RPE) regulate exercise performance. Non-invasive brain stimulation can modulate the cortical area directly beneath the electrode related to ANS and RPE, but it could also affect subcortical areas by connection within the cortico-cortical neural networks. This study evaluated the effects of transcranial direct current stimulation (tDCS) over the TC on the ANS, RPE and performance during a maximal dynamic exercise. METHODS: Ten trained cyclists participated in this study (33±9 years; 171.5±5.8 cm; 72.8±9.5 kg; 10-11 training years). After 20-min of receiving either anodal tDCS applied over the left TC (T3) or sham stimulation, subjects completed a maximal incremental cycling exercise test. RPE, heart rate (HR) and R-R intervals (as a measure of ANS function) were recorded continuously throughout the tests. Peak power output (PPO) was recorded at the end of the tests. RESULTS: With anodal tDCS, PPO improved by ∼4% (anodal tDCS: 313.2±29.9 vs 301.0±19.8 watts: sham tDCS; p=0.043), parasympathetic vagal withdrawal was delayed (anodal tDCS: 147.5±53.3 vs 125.0±35.4 watts: sham tDCS; p=0.041) and HR was reduced at submaximal workloads. RPE also increased more slowly during exercise following anodal tDCS application, but maximal RPE and HR values were not affected by cortical stimulation. CONCLUSIONS: The findings suggest that non-invasive brain stimulation over the TC modulates the ANS activity and the sensory perception of effort and exercise performance, indicating that the brain plays a crucial role in the exercise performance regulation."
"The effect of transcranial direct current stimulation on the motor suppression in stop-signal task.",NeuroRehabilitation,2013,1695-706,32,Array,Array,18241846,1,"We reviewed novel brain stimulation approaches that modify neuroplasticity and are used in the treatment and study of schizophrenia. We searched PubMed and Scholars Portal using search terms related to schizophrenia, brain stimulation, and neuroplasticity. Various brain stimulation approaches simulating a range of experimental protocols that induce synaptic long-term potentiation or depression have been developed. By far, repetitive transcranial magnetic stimulation (rTMS) has been the most widely used in the field of schizophrenia. Its application has been associated with mixed results in treating treatment-resistant symptoms and cognitive deficits associated with schizophrenia. Compared to the other approaches, rTMS is probably the least similar to plasticity-inducing cellular paradigms. Other approaches, such as paired associative stimulation, theta-burst stimulation, and transcranial direct current stimulation, are in their incipient stages in the study and treatment of schizophrenia, with promising early results. Numerous brain stimulation approaches have been developed to treat resistant dimensions of schizophrenia. Notwithstanding some promising reports, optimization of the methods and large randomized controlled trials are still needed."
"Transcranial direct current stimulation increases resting state interhemispheric connectivity.","Neuroscience letters",2013,1695-706,539,Array,Array,18287498,,"Premotor cortical regions (PMC) play an important role in the orchestration of motor function, yet their role in compensatory mechanisms in a disturbed motor system is largely unclear. Previous studies are consistent in describing pronounced anatomical and functional connectivity between the PMC and the primary motor cortex (M1). Lesion studies consistently show compensatory adaptive changes in PMC neural activity following an M1 lesion. Non-invasive brain modification of PMC neural activity has shown compensatory neurophysiological aftereffects in M1. These studies have contributed to our understanding of how M1 responds to changes in PMC neural activity. Yet, the way in which the PMC responds to artificial inhibition of M1 neural activity is unclear. Here we investigate the neurophysiological consequences in the PMC and the behavioral consequences for motor performance of stimulation mediated M1 inhibition by cathodal transcranial direct current stimulation (tDCS)."
"Evaluation of sham transcranial direct current stimulation for randomized, placebo-controlled clinical trials.","Brain stimulation",2013,690-5,6,Array,Array,23415938,4,"Transcranial direct current stimulation (tDCS) has been investigated as therapeutic intervention in various psychiatric and neurologic disorders. As placebo responses to technical interventions may be pronounced in many clinical conditions, it is important to thoroughly develop placebo conditions which meet the requirements for application in randomized double-blind controlled trials."
"Transcranial direct current stimulation for treatment of refractory childhood focal epilepsy.","Brain stimulation",2013,690-5,6,Array,Array,23415937,4,"The two-part experiment reported here aims at evaluating a new sham tDCS condition in healthy subjects and device operators. Sham or active tDCS is delivered after entering a number code to the device and allows blinding of the operator before and during tDCS. The sham mode has no short stimulation period."
